fuel_log_id,vehicle_id,trip_id,fuel_date,fuel_type,fuel_litres,fuel_price_per_litre,fuel_cost,odometer_km
FL00001,VH022,TR03649,2026-01-01 00:00:00.000000,Petrol,89.91771694509741,200,17983.543389019484,208291.29086814725
FL00002,VH038,TR03265,2026-01-01 00:51:51.022204,Diesel,92.98915715674485,190,17667.939859781523,60002.16744233146
FL00003,VH045,TR03602,2026-01-01 01:43:42.044408,Diesel,118.52958441278398,190,22520.621038428955,103099.03129291085
FL00004,VH035,TR02294,2026-01-01 02:35:33.066613,Diesel,96.14359701184149,190,18267.283432249882,163800.7103907395
FL00005,VH028,TR00675,2026-01-01 03:27:24.088817,Petrol,93.1060586132785,200,18621.211722655702,219945.11981478313
FL00006,VH026,TR01879,2026-01-01 04:19:15.111022,Diesel,137.72943217847936,190,26168.592113911076,168512.6709685081
FL00007,VH033,TR01012,2026-01-01 05:11:06.133226,Petrol,73.302505309282,200,14660.5010618564,211365.27000020942
FL00008,VH028,TR00794,2026-01-01 06:02:57.155431,Petrol,41.5372090173077,200,8307.441803461541,123747.88380383138
FL00009,VH025,TR00233,2026-01-01 06:54:48.177635,Diesel,32.650401903308236,190,6203.576361628565,182152.89704921065
FL00010,VH017,TR03028,2026-01-01 07:46:39.199839,Petrol,65.99924355332996,200,13199.848710665992,245195.3935300208
FL00011,VH004,TR03610,2026-01-01 08:38:30.222044,Diesel,109.7853857271174,190,20859.223288152305,46837.25371114186
FL00012,VH048,TR02174,2026-01-01 09:30:21.244248,Diesel,15.956087890186126,190,3031.656699135364,232460.96615581357
FL00013,VH027,TR03385,2026-01-01 10:22:12.266453,Petrol,28.067474111316855,200,5613.494822263371,135367.34748205665
FL00014,VH027,TR04607,2026-01-01 11:14:03.288657,Petrol,24.855884414509518,200,4971.176882901904,164372.32737521394
FL00015,VH004,TR02329,2026-01-01 12:05:54.310862,Diesel,91.93502142720423,190,17467.654071168803,220688.56165852305
FL00016,VH002,TR00798,2026-01-01 12:57:45.333066,Petrol,44.00105107437728,200,8800.210214875457,108317.00141255607
FL00017,VH028,TR03685,2026-01-01 13:49:36.355271,Petrol,33.276319962195515,200,6655.263992439103,110486.21797361215
FL00018,VH034,TR04488,2026-01-01 14:41:27.377475,Diesel,92.98790076402312,190,17667.701145164392,136523.64072330407
FL00019,VH004,TR04478,2026-01-01 15:33:18.399679,Diesel,116.5833881633331,190,22150.843751033288,14584.50027924414
FL00020,VH032,TR02590,2026-01-01 16:25:09.421884,Petrol,56.501688303373015,200,11300.337660674602,129199.8834264042
FL00021,VH039,TR04702,2026-01-01 17:17:00.444088,Diesel,90.94864479472346,190,17280.242510997457,79860.94359861528
FL00022,VH006,TR04212,2026-01-01 18:08:51.466293,Diesel,23.737417847924426,190,4510.109391105641,232709.00377402754
FL00023,VH050,TR00509,2026-01-01 19:00:42.488497,Diesel,140.9267442640598,190,26776.081410171362,31056.471700727518
FL00024,VH013,TR01464,2026-01-01 19:52:33.510702,Petrol,57.165465944068195,200,11433.093188813638,120236.91088475243
FL00025,VH026,TR03363,2026-01-01 20:44:24.532906,Diesel,149.6507970442902,190,28433.651438415134,237392.3608905666
FL00026,VH021,TR03111,2026-01-01 21:36:15.555111,Petrol,147.00228581896948,200,29400.457163793897,226248.4600764346
FL00027,VH040,TR01048,2026-01-01 22:28:06.577315,Petrol,119.03528290701361,200,23807.05658140272,178323.62616989206
FL00028,VH014,TR04872,2026-01-01 23:19:57.599519,Diesel,12.80939335697534,190,2433.7847378253146,151446.65247905793
FL00029,VH038,TR04436,2026-01-02 00:11:48.621724,Diesel,86.08648885381086,190,16356.432882224064,77375.42491188164
FL00030,VH035,TR00169,2026-01-02 01:03:39.643928,Diesel,22.15709886160161,190,4209.848783704306,98069.70706058915
FL00031,VH028,TR01562,2026-01-02 01:55:30.666133,Petrol,135.31932363461226,200,27063.864726922453,31632.367540990537
FL00032,VH034,TR03173,2026-01-02 02:47:21.688337,Diesel,120.5490753706364,190,22904.324320420918,198665.99146197704
FL00033,VH014,TR00575,2026-01-02 03:39:12.710542,Diesel,146.1276527233956,190,27764.254017445168,87728.74429691481
FL00034,VH003,TR01743,2026-01-02 04:31:03.732746,Diesel,95.17361344097135,190,18082.986553784558,170267.65576724976
FL00035,VH010,TR04571,2026-01-02 05:22:54.754950,Diesel,83.10419262780732,190,15789.79659928339,95822.74652766723
FL00036,VH035,TR04017,2026-01-02 06:14:45.777155,Diesel,82.65633983221427,190,15704.704568120711,121439.30593510304
