maintenance_id,vehicle_id,maintenance_date,maintenance_type,maintenance_cost,odometer_km,status
MT00001,VH011,2026-01-01 00:00:00.000000,Battery Replacement,9799.595961837225,150989.79366014758,Pending
MT00002,VH043,2026-01-01 08:39:26.332665,Engine Repair,84913.83354670757,149194.13386559658,Completed
MT00003,VH038,2026-01-01 17:18:52.665330,Routine Inspection,2982.644753561809,57848.44777802232,Pending
MT00004,VH048,2026-01-02 01:58:18.997995,Battery Replacement,16503.86298658479,36570.980005767546,Pending
MT00005,VH050,2026-01-02 10:37:45.330661,Oil Change,6904.612763573382,88394.09109893108,Completed
MT00006,VH030,2026-01-02 19:17:11.663326,Routine Inspection,3226.4407926735144,194423.7436474326,Pending
MT00007,VH018,2026-01-03 03:56:37.995991,Oil Change,3099.0098738151596,214779.18517045933,Pending
MT00008,VH047,2026-01-03 12:36:04.328657,Oil Change,5080.795866157088,201381.12583815382,Completed
MT00009,VH033,2026-01-03 21:15:30.661322,Brake Service,18297.26713537192,47873.387800844495,Pending
MT00010,VH042,2026-01-04 05:54:56.993987,Brake Service,6837.099215814242,230534.91193015748,Pending
MT00011,VH003,2026-01-04 14:34:23.326653,Engine Repair,74096.16356465894,103018.64281028285,Completed
MT00012,VH002,2026-01-04 23:13:49.659318,Battery Replacement,16453.419258138223,211038.29148358287,Completed
MT00013,VH011,2026-01-05 07:53:15.991983,Tire Replacement,25958.456997902773,160273.72719020463,Completed
MT00014,VH021,2026-01-05 16:32:42.324649,Routine Inspection,4490.1566252259845,200414.19534512374,Completed
MT00015,VH023,2026-01-06 01:12:08.657314,Battery Replacement,21359.514632618586,17270.557471129618,Completed
MT00016,VH050,2026-01-06 09:51:34.989979,Oil Change,7924.787081060671,114329.40985687722,Pending
MT00017,VH001,2026-01-06 18:31:01.322645,Engine Repair,33455.25496283096,155528.94177224772,Pending
MT00018,VH007,2026-01-07 03:10:27.655310,Brake Service,8805.955188223908,98763.02166263339,Completed
MT00019,VH047,2026-01-07 11:49:53.987975,Routine Inspection,4239.95404736915,199454.7513238575,Completed
MT00020,VH027,2026-01-07 20:29:20.320641,Engine Repair,87136.83686630096,183668.37515386383,Completed
MT00021,VH017,2026-01-08 05:08:46.653306,Tire Replacement,34660.07686334857,103556.570065407,Completed
MT00022,VH035,2026-01-08 13:48:12.985971,Engine Repair,56526.134214295365,115346.28420599461,Completed
MT00023,VH016,2026-01-08 22:27:39.318637,Engine Repair,28639.36668801168,127939.2177628536,Completed
MT00024,VH003,2026-01-09 07:07:05.651302,Engine Repair,49348.32468890632,140828.8993406371,Pending
MT00025,VH012,2026-01-09 15:46:31.983967,Oil Change,4402.174658590413,81590.48255840178,Pending
MT00026,VH022,2026-01-10 00:25:58.316633,Tire Replacement,25323.8151240831,64978.272239190075,Completed
MT00027,VH020,2026-01-10 09:05:24.649298,Brake Service,7467.052656664234,37056.38118036421,Completed
MT00028,VH033,2026-01-10 17:44:50.981963,Battery Replacement,18864.62812349604,43678.290127479675,Completed
MT00029,VH007,2026-01-11 02:24:17.314629,Brake Service,19480.673007898244,122228.17574832209,Completed
MT00030,VH037,2026-01-11 11:03:43.647294,Engine Repair,78829.12122949515,169468.01804807072,Pending
MT00031,VH007,2026-01-11 19:43:09.979959,Engine Repair,98734.39352346887,169815.6902014206,Pending
MT00032,VH023,2026-01-12 04:22:36.312625,Battery Replacement,20097.51761809477,119558.66420477461,Pending
MT00033,VH001,2026-01-12 13:02:02.645290,Tire Replacement,32246.79197127494,158509.670904196,Pending
MT00034,VH041,2026-01-12 21:41:28.977955,Engine Repair,62547.505827801455,240160.10617044923,Completed
MT00035,VH012,2026-01-13 06:20:55.310621,Oil Change,7740.108723833325,245748.2510525433,Completed
MT00036,VH033,2026-01-13 15:00:21.643286,Routine Inspection,3078.7630415135695,212755.1669874138,Completed
MT00037,VH015,2026-01-13 23:39:47.975951,Oil Change,6820.744386434499,229450.07828618085,Pending
MT00038,VH027,2026-01-14 08:19:14.308617,Brake Service,5023.942436304947,42630.66513745731,Completed
MT00039,VH016,2026-01-14 16:58:40.641282,Oil Change,7045.745172656574,76905.60772344042,Pending
MT00040,VH015,2026-01-15 01:38:06.973947,Brake Service,9413.66698782055,238956.0440521734,Completed
MT00041,VH049,2026-01-15 10:17:33.306613,Engine Repair,26717.403101668307,41264.94541070923,Completed
MT00042,VH024,2026-01-15 18:56:59.639278,Oil Change,6618.043915316912,219906.13888169723,Completed
MT00043,VH045,2026-01-16 03:36:25.971943,Oil Change,5611.02816670806,115410.66347085121,Pending
MT00044,VH044,2026-01-16 12:15:52.304609,Battery Replacement,12869.076807157824,243994.35468763713,Completed
MT00045,VH050,2026-01-16 20:55:18.637274,Brake Service,16311.637820578775,181970.02941527506,Completed
MT00046,VH033,2026-01-17 05:34:44.969939,Battery Replacement,15238.270031190767,90889.38967308226,Pending
MT00047,VH014,2026-01-17 14:14:11.302605,Tire Replacement,29504.759577351357,38336.401189654614,Pending
MT00048,VH011,2026-01-17 22:53:37.635270,Routine Inspection,4993.9499855528575,67331.45654434612,Completed
MT00049,VH026,2026-01-18 07:33:03.967935,Battery Replacement,8067.862837978236,179012.98419092895,Completed
MT00050,VH012,2026-01-18 16:12:30.300601,Oil Change,7239.775025023795,87057.9029977096,Pending
MT00051,VH034,2026-01-19 00:51:56.633266,Oil Change,5793.617313392117,237784.3568078964,Completed
MT00052,VH037,2026-01-19 09:31:22.965931,Tire Replacement,21166.961507261927,138353.91015376028,Pending
MT00053,VH037,2026-01-19 18:10:49.298597,Brake Service,19269.70243760984,135922.7971192404,Completed
MT00054,VH041,2026-01-20 02:50:15.631262,Brake Service,19085.21335666576,203716.13603401574,Pending
MT00055,VH027,2026-01-20 11:29:41.963927,Routine Inspection,2181.631019454285,201339.57133970226,Pending
MT00056,VH016,2026-01-20 20:09:08.296593,Brake Service,15441.830068958974,174887.80884807507,Completed
MT00057,VH039,2026-01-21 04:48:34.629258,Tire Replacement,28090.376298070634,238501.23300491885,Completed
MT00058,VH012,2026-01-21 13:28:00.961923,Engine Repair,74221.15730169143,149145.75529687008,Completed
MT00059,VH047,2026-01-21 22:07:27.294589,Engine Repair,95873.6438175844,226117.16412468307,Completed
MT00060,VH029,2026-01-22 06:46:53.627254,Tire Replacement,39713.13168282701,122902.72314960381,Completed
MT00061,VH002,2026-01-22 15:26:19.959919,Battery Replacement,12168.966078973841,192872.12176881713,Pending
MT00062,VH006,2026-01-23 00:05:46.292585,Tire Replacement,18813.384451320082,66180.98468131945,Pending
MT00063,VH010,2026-01-23 08:45:12.625250,Engine Repair,78785.09080987595,214114.27485923946,Pending
MT00064,VH033,2026-01-23 17:24:38.957915,Routine Inspection,4106.8678065973945,94667.90673218384,Completed
MT00065,VH002,2026-01-24 02:04:05.290581,Routine Inspection,2437.2793505541126,184233.1943389811,Completed
MT00066,VH018,2026-01-24 10:43:31.623246,Engine Repair,95861.79155244888,87373.40138395275,Completed
MT00067,VH049,2026-01-24 19:22:57.955911,Battery Replacement,21700.916164665985,238775.70341569828,Pending
MT00068,VH016,2026-01-25 04:02:24.288577,Oil Change,4657.179505811906,55768.90312580387,Pending
MT00069,VH006,2026-01-25 12:41:50.621242,Oil Change,5902.245224754641,136497.33926583466,Pending
MT00070,VH015,2026-01-25 21:21:16.953907,Oil Change,6619.373994408532,104694.51149033636,Completed
MT00071,VH014,2026-01-26 06:00:43.286573,Brake Service,18236.754719663302,138352.98181150545,Pending
MT00072,VH003,2026-01-26 14:40:09.619238,Engine Repair,99142.31315198913,65371.35702873937,Pending
MT00073,VH041,2026-01-26 23:19:35.951903,Tire Replacement,31206.13814708984,130882.95671321407,Pending
MT00074,VH008,2026-01-27 07:59:02.284569,Battery Replacement,17950.067961630484,41644.04891863919,Completed
MT00075,VH039,2026-01-27 16:38:28.617234,Engine Repair,96539.99305967063,65461.587309769355,Completed
MT00076,VH046,2026-01-28 01:17:54.949899,Oil Change,5579.641163381511,171265.04511530526,Completed
MT00077,VH037,2026-01-28 09:57:21.282565,Battery Replacement,11875.423505384633,122520.26930826284,Completed
MT00078,VH019,2026-01-28 18:36:47.615230,Tire Replacement,12833.290204339013,129257.41538459303,Pending
MT00079,VH047,2026-01-29 03:16:13.947895,Engine Repair,32690.37244033037,233601.14649062313,Pending
MT00080,VH043,2026-01-29 11:55:40.280561,Tire Replacement,27760.112367680358,61609.95940184756,Pending
MT00081,VH002,2026-01-29 20:35:06.613226,Engine Repair,73787.6470063526,142421.57572080012,Completed
MT00082,VH037,2026-01-30 05:14:32.945891,Engine Repair,81916.58936926106,137565.71481572484,Completed
MT00083,VH037,2026-01-30 13:53:59.278557,Oil Change,4513.4030041862225,116842.29180096986,Pending
MT00084,VH003,2026-01-30 22:33:25.611222,Battery Replacement,14298.329724475247,209204.20695269946,Completed
MT00085,VH044,2026-01-31 07:12:51.943887,Routine Inspection,4390.340139293446,146047.8337546833,Pending
MT00086,VH034,2026-01-31 15:52:18.276553,Routine Inspection,2437.109175874916,206900.8149685804,Completed
MT00087,VH034,2026-02-01 00:31:44.609218,Routine Inspection,4582.522040450025,216406.35231054187,Completed
MT00088,VH044,2026-02-01 09:11:10.941883,Oil Change,4412.558760479168,27095.89200562774,Pending
MT00089,VH037,2026-02-01 17:50:37.274549,Engine Repair,56805.30209464768,235079.69216681394,Completed
MT00090,VH048,2026-02-02 02:30:03.607214,Oil Change,4135.214811729656,193150.5788393254,Pending
MT00091,VH044,2026-02-02 11:09:29.939879,Engine Repair,31589.704637953248,126239.10629040707,Completed
MT00092,VH033,2026-02-02 19:48:56.272545,Routine Inspection,4266.639440038589,206787.59541823546,Completed
MT00093,VH022,2026-02-03 04:28:22.605210,Routine Inspection,4381.521108961055,65172.363142206654,Completed
MT00094,VH047,2026-02-03 13:07:48.937875,Oil Change,4625.5503083877275,206658.65435185822,Completed
MT00095,VH001,2026-02-03 21:47:15.270541,Engine Repair,92131.26561522021,143511.70905220092,Pending
MT00096,VH045,2026-02-04 06:26:41.603206,Routine Inspection,4036.2113720663615,116615.4367617272,Completed
MT00097,VH048,2026-02-04 15:06:07.935871,Brake Service,12854.227876822464,147017.92438525197,Pending
MT00098,VH019,2026-02-04 23:45:34.268537,Brake Service,17729.120704259552,181966.52143467698,Pending
MT00099,VH042,2026-02-05 08:25:00.601202,Routine Inspection,4633.186144036272,76564.92389426303,Pending
MT00100,VH037,2026-02-05 17:04:26.933867,Tire Replacement,27983.05989480566,33396.3791422958,Pending
MT00101,VH015,2026-02-06 01:43:53.266533,Engine Repair,66741.52440758151,227633.52657279192,Completed
MT00102,VH018,2026-02-06 10:23:19.599198,Oil Change,6423.4299890097545,238125.50974190148,Pending
MT00103,VH016,2026-02-06 19:02:45.931863,Engine Repair,65535.83566382945,159924.27151885437,Completed
MT00104,VH035,2026-02-07 03:42:12.264529,Oil Change,5895.832063966005,132556.19537657598,Completed
MT00105,VH039,2026-02-07 12:21:38.597194,Tire Replacement,27946.343722337493,22939.991749283876,Completed
MT00106,VH011,2026-02-07 21:01:04.929859,Routine Inspection,2966.116417650105,109776.38297325025,Completed
MT00107,VH007,2026-02-08 05:40:31.262525,Routine Inspection,4261.11544959295,91670.18871684394,Pending
MT00108,VH030,2026-02-08 14:19:57.595190,Routine Inspection,3074.63447659355,102013.05048974154,Pending
MT00109,VH046,2026-02-08 22:59:23.927855,Engine Repair,71813.67265343407,182645.0735363418,Pending
MT00110,VH005,2026-02-09 07:38:50.260521,Tire Replacement,31794.083593017927,96699.9759006857,Pending
MT00111,VH002,2026-02-09 16:18:16.593186,Oil Change,5784.502502769452,199868.62581851555,Completed
MT00112,VH045,2026-02-10 00:57:42.925851,Battery Replacement,11958.939096469046,247784.5400923292,Completed
MT00113,VH001,2026-02-10 09:37:09.258517,Routine Inspection,3735.7127747285017,141114.93034233944,Completed
MT00114,VH019,2026-02-10 18:16:35.591182,Oil Change,7085.7270249156245,76623.33595350412,Pending
MT00115,VH049,2026-02-11 02:56:01.923847,Tire Replacement,12406.641281560405,239885.6154836472,Completed
MT00116,VH047,2026-02-11 11:35:28.256513,Engine Repair,72676.08000313016,185630.63373878718,Completed
MT00117,VH023,2026-02-11 20:14:54.589178,Engine Repair,28667.150925305352,63956.0758760832,Pending
MT00118,VH038,2026-02-12 04:54:20.921843,Tire Replacement,29431.025988227633,248650.91470643444,Completed
MT00119,VH016,2026-02-12 13:33:47.254509,Engine Repair,42312.26836074425,12459.756687404297,Completed
MT00120,VH014,2026-02-12 22:13:13.587174,Brake Service,18360.859813910305,148238.19995827094,Pending
MT00121,VH004,2026-02-13 06:52:39.919839,Routine Inspection,3187.5135632829524,174275.1228690694,Completed
MT00122,VH006,2026-02-13 15:32:06.252505,Battery Replacement,14541.167195377477,53781.7728698796,Pending
MT00123,VH004,2026-02-14 00:11:32.585170,Tire Replacement,35606.672228493684,22317.51174902077,Pending
MT00124,VH005,2026-02-14 08:50:58.917835,Battery Replacement,24373.385621610018,11774.080983241583,Pending
MT00125,VH035,2026-02-14 17:30:25.250501,Tire Replacement,10862.350173994362,232254.5639271978,Completed
MT00126,VH026,2026-02-15 02:09:51.583166,Battery Replacement,16342.149318546224,149869.685287779,Pending
MT00127,VH009,2026-02-15 10:49:17.915831,Oil Change,5830.227599161951,51064.32560412047,Pending
MT00128,VH049,2026-02-15 19:28:44.248496,Tire Replacement,37788.809520216266,157759.9244592214,Pending
MT00129,VH005,2026-02-16 04:08:10.581162,Engine Repair,67540.62254234799,10603.53455852196,Completed
MT00130,VH025,2026-02-16 12:47:36.913827,Battery Replacement,17816.310104289943,99683.90455049435,Pending
MT00131,VH045,2026-02-16 21:27:03.246492,Oil Change,6697.790737109746,194304.67816794073,Completed
MT00132,VH018,2026-02-17 06:06:29.579158,Oil Change,6955.174912890528,33924.93697942898,Pending
MT00133,VH038,2026-02-17 14:45:55.911823,Routine Inspection,3405.850391907743,154897.52507532833,Pending
MT00134,VH030,2026-02-17 23:25:22.244488,Oil Change,3805.40129261933,85772.31835401029,Pending
MT00135,VH032,2026-02-18 08:04:48.577154,Engine Repair,88455.20699977009,33654.40697264864,Completed
MT00136,VH035,2026-02-18 16:44:14.909819,Oil Change,3824.9322901355617,207913.62323096805,Completed
MT00137,VH020,2026-02-19 01:23:41.242484,Battery Replacement,24659.74597127097,141586.86341195664,Completed
MT00138,VH031,2026-02-19 10:03:07.575150,Engine Repair,49025.293076229136,199893.24546327523,Pending
MT00139,VH020,2026-02-19 18:42:33.907815,Routine Inspection,4854.477479143901,242435.61744557254,Pending
MT00140,VH027,2026-02-20 03:22:00.240480,Tire Replacement,31051.653478535492,54055.70770787192,Completed
MT00141,VH050,2026-02-20 12:01:26.573146,Engine Repair,89215.2898726134,42865.068963598605,Pending
MT00142,VH017,2026-02-20 20:40:52.905811,Tire Replacement,38277.09212776815,245405.38392362057,Pending
MT00143,VH015,2026-02-21 05:20:19.238476,Tire Replacement,30083.894091514787,65992.58420623734,Completed
MT00144,VH012,2026-02-21 13:59:45.571142,Tire Replacement,33409.83062169043,112460.80955331173,Pending
MT00145,VH011,2026-02-21 22:39:11.903807,Tire Replacement,16093.411826229167,210718.07804349993,Pending
MT00146,VH042,2026-02-22 07:18:38.236472,Routine Inspection,3145.974131760631,65286.62065086374,Pending
