sensor_reading_id,vehicle_id,reading_date,engine_temperature_c,oil_pressure_psi,battery_voltage_v,engine_rpm
SR00001,VH029,2026-01-01 00:00:00.000000,76.15548002209457,43.07592058221465,13.218964675595487,1832.2948301456224
SR00002,VH002,2026-01-01 00:25:55.355535,82.14596180076458,56.5179877898627,12.939360318120206,2072.3868727625118
SR00003,VH026,2026-01-01 00:51:50.711071,99.74701095146862,47.21067295770549,13.134530285295751,1714.3954134591686
SR00004,VH011,2026-01-01 01:17:46.066606,94.43855840292085,33.38095715703065,13.782996594074994,2009.4299693255036
SR00005,VH025,2026-01-01 01:43:41.422142,82.14650484141984,53.081596966795566,12.858191785698143,2259.174663895214
SR00006,VH034,2026-01-01 02:09:36.777677,90.44247649653755,39.11348020664231,13.363352893852591,1424.4519195323674
SR00007,VH041,2026-01-01 02:35:32.133213,76.380910147219,52.99080076457696,13.031100650564685,1117.1039570486341
SR00008,VH001,2026-01-01 03:01:27.488748,78.51535547763766,47.3912232831559,12.921920040180474,1630.2667628141235
SR00009,VH031,2026-01-01 03:27:22.844284,82.08695637734601,39.27918020222964,14.023202578991265,2158.388799690553
SR00010,VH038,2026-01-01 03:53:18.199819,96.41126918709917,42.07522685992075,13.538442982623943,1594.7337246420707
SR00011,VH022,2026-01-01 04:19:13.555355,68.1516519591029,48.194119074921566,14.13090403412264,2266.4188456380116
SR00012,VH002,2026-01-01 04:45:08.910891,92.04423986906713,46.90084183384329,13.293688030349395,2035.233995143666
SR00013,VH047,2026-01-01 05:11:04.266426,81.83551392398874,51.681045697566034,14.107741430393169,2061.5890396770674
SR00014,VH001,2026-01-01 05:36:59.621962,89.96931866381853,48.029341135915004,13.922948837695715,1748.0034950910317
SR00015,VH024,2026-01-01 06:02:54.977497,89.6707981846775,44.99910893590263,13.031482137297637,1544.6538174035709
SR00016,VH050,2026-01-01 06:28:50.333033,84.78531251611884,45.723787874253475,14.120816093460494,1719.0600296772227
SR00017,VH036,2026-01-01 06:54:45.688568,78.95583403341473,43.679844768249176,13.041319028055373,1806.4205909913985
SR00018,VH045,2026-01-01 07:20:41.044104,79.66491164512843,48.69221753858716,14.31273672128682,1796.04525874732
SR00019,VH036,2026-01-01 07:46:36.399639,82.49141458698998,47.9367775606373,14.393237110945586,1839.5175397203386
SR00020,VH047,2026-01-01 08:12:31.755175,71.99255038497569,46.79695065055946,13.67608283511687,1674.257353344417
SR00021,VH034,2026-01-01 08:38:27.110711,85.71550778176889,61.11569506846037,13.439977772449982,1644.719212459656
SR00022,VH009,2026-01-01 09:04:22.466246,79.35380278905274,47.66012875789283,12.881622805036924,2246.780930971923
SR00023,VH012,2026-01-01 09:30:17.821782,81.29602043284797,53.61346899045395,14.8,1429.159954159625
SR00024,VH046,2026-01-01 09:56:13.177317,83.3527282257131,40.44386260049488,12.65908446624748,1721.420490277193
SR00025,VH020,2026-01-01 10:22:08.532853,91.00225856230645,45.07305962880179,12.677967001199578,2411.7392585796056
SR00026,VH004,2026-01-01 10:48:03.888388,94.90568850917225,30.016217938265896,13.054873485180948,1745.17156833472
SR00027,VH015,2026-01-01 11:13:59.243924,95.9820150717303,45.62487974261819,13.762843766139378,2150.2856702934387
SR00028,VH004,2026-01-01 11:39:54.599459,88.28504580450085,40.710254485476355,12.052982135131273,1585.935527728629
SR00029,VH005,2026-01-01 12:05:49.954995,81.88247964073805,40.05181606826597,12.977533343272569,1394.0195951036114
SR00030,VH010,2026-01-01 12:31:45.310531,74.5372957690214,46.50302188639216,13.41782307265295,2518.388121101817
SR00031,VH044,2026-01-01 12:57:40.666066,104.52708348582692,42.18124430613953,14.55371380311966,1397.6871311087561
SR00032,VH044,2026-01-01 13:23:36.021602,99.24762088874488,34.19559693067015,13.293584795910402,1804.8135817089315
SR00033,VH040,2026-01-01 13:49:31.377137,92.13567259671963,43.571830814799014,13.354117259842361,2419.5926816096144
SR00034,VH036,2026-01-01 14:15:26.732673,90.26450694294705,69.82650357769157,14.272094018219397,1341.8024355131893
SR00035,VH035,2026-01-01 14:41:22.088208,82.16801207025215,47.95275896307622,13.36610923043616,2059.883808737347
SR00036,VH001,2026-01-01 15:07:17.443744,86.0436681769199,46.95262297271557,12.618495999626642,2011.1429934064954
SR00037,VH018,2026-01-01 15:33:12.799279,92.36502714393157,37.08228028628533,13.766158083037759,1803.6217001748512
SR00038,VH031,2026-01-01 15:59:08.154815,69.87289614400488,36.3076829626926,12.41642075218656,2515.5164701476324
SR00039,VH046,2026-01-01 16:25:03.510351,80.10266313856341,38.44909823879902,13.526907529820054,1908.0542122832333
SR00040,VH049,2026-01-01 16:50:58.865886,85.08466419172775,46.96218907755698,14.050632976027849,1847.780617320011
