trip_id,vehicle_id,trip_date,origin,destination,distance_km,duration_hours,fuel_type,fuel_efficiency_1_per_100km,fuel_consumed_litres,fuel_cost
TR00001,VH015,2026-01-01 00:00:00.000000,Thika,Nairobi,45,0.9010484736998917,Petrol,11.795306438826259,5.307887897471817,1061.5775794943634
TR00002,VH015,2026-01-01 00:51:51.022204,Machakos,Kisumu,465,11.34472433056668,Petrol,12.347492882753473,57.415841904803656,11483.168380960731
TR00003,VH026,2026-01-01 01:43:42.044408,Nairobi,Machakos,115,2.668890137214153,Diesel,18.18685211010798,20.914879926624177,3973.8271860585937
TR00004,VH042,2026-01-01 02:35:33.066613,Nairobi,Eldoret,310,6.6501463884833925,Diesel,12.329358644538377,38.22101179806897,7261.992241633105
TR00005,VH013,2026-01-01 03:27:24.088817,Kisumu,Machakos,465,8.883073252620369,Petrol,18.403782992084807,85.57759091319436,17115.518182638873
TR00006,VH032,2026-01-01 04:19:15.111022,Naivasha,Mombasa,620,9.596338132376884,Petrol,10.932027070340556,67.77856783611145,13555.71356722229
TR00007,VH039,2026-01-01 05:11:06.133226,Kisumu,Mombasa,850,18.43003644132372,Diesel,21.92356113854581,186.3502696776394,35406.55123875149
TR00008,VH049,2026-01-01 06:02:57.155431,Mombasa,Thika,520,9.68484321294158,Diesel,13.330944576327903,69.3209117969051,13170.973241411968
TR00009,VH032,2026-01-01 06:54:48.177635,Eldoret,Naivasha,235,6.355333358064749,Petrol,14.414028395942424,33.8729667304647,6774.593346092939
TR00010,VH004,2026-01-01 07:46:39.199839,Machakos,Eldoret,430,7.352650851482093,Diesel,10.349720050693156,44.50379621798057,8455.721281416309
TR00011,VH030,2026-01-01 08:38:30.222044,Naivasha,Mombasa,620,17.114524607061945,Diesel,12.095525431433533,74.99225767488791,14248.528958228702
TR00012,VH037,2026-01-01 09:30:21.244248,Machakos,Mombasa,420,7.448513245946833,Diesel,12.915032415022756,54.243136143095576,10306.19586718816
TR00013,VH023,2026-01-01 10:22:12.266453,Nairobi,Eldoret,310,6.281330621940495,Diesel,9.735349522751717,30.179583520530322,5734.120868900761
TR00014,VH039,2026-01-01 11:14:03.288657,Kisumu,Mombasa,850,17.33463597466665,Diesel,23.358025517213402,198.5432168963139,37723.21121029964
TR00015,VH045,2026-01-01 12:05:54.310862,Machakos,Nakuru,270,5.672521280340816,Diesel,23.209646809060672,62.66604638446382,11906.548813048126
TR00016,VH015,2026-01-01 12:57:45.333066,Nairobi,Machakos,115,2.9047754732548214,Petrol,13.516705068533973,15.544210828814068,3108.8421657628137
TR00017,VH043,2026-01-01 13:49:36.355271,Mombasa,Nairobi,480,11.995850658934012,Diesel,10.042430060417216,48.203664290002635,9158.696215100501
TR00018,VH029,2026-01-01 14:41:27.377475,Mombasa,Nakuru,630,11.11264743004942,Diesel,11.083421219945013,69.82555368565357,13266.85520027418
TR00019,VH036,2026-01-01 15:33:18.399679,Eldoret,Thika,350,6.9866562911439525,Diesel,13.135933571226609,45.97576749929313,8735.395824865695
TR00020,VH013,2026-01-01 16:25:09.421884,Machakos,Thika,80,1.6828095034921684,Petrol,22.694060355788547,18.15524828463084,3631.049656926168
TR00021,VH032,2026-01-01 17:17:00.444088,Eldoret,Machakos,430,8.030300961694989,Petrol,14.471949268492454,62.22938185451755,12445.87637090351
TR00022,VH007,2026-01-01 18:08:51.466293,Thika,Machakos,80,1.5744782657553,Petrol,10.285898272651332,8.228718618121066,1645.7437236242133
TR00023,VH022,2026-01-01 19:00:42.488497,Naivasha,Thika,145,3.321380364910086,Petrol,22.1787477600151,32.159184252021895,6431.836850404379
TR00024,VH028,2026-01-01 19:52:33.510702,Machakos,Thika,80,1.1479743235720135,Petrol,12.84523287446837,10.276186299574697,2055.2372599149394
TR00025,VH002,2026-01-01 20:44:24.532906,Mombasa,Machakos,420,7.509916975713798,Petrol,18.249720914523728,76.64882784099966,15329.765568199931
TR00026,VH042,2026-01-01 21:36:15.555111,Kisumu,Nakuru,190,3.7242817333369316,Diesel,12.567610384562418,23.87845973066859,4536.907348827032
TR00027,VH045,2026-01-01 22:28:06.577315,Nairobi,Thika,45,0.9805820868050573,Diesel,22.26664217916947,10.01998898062626,1903.7979063189896
TR00028,VH006,2026-01-01 23:19:57.599519,Nakuru,Kisumu,190,3.2973472703289697,Diesel,19.33905221941475,36.74419921688802,6981.397851208724
TR00029,VH028,2026-01-02 00:11:48.621724,Eldoret,Mombasa,750,17.162684636467798,Petrol,11.366647915623314,85.24985936717486,17049.971873434974
TR00030,VH028,2026-01-02 01:03:39.643928,Nakuru,Nairobi,155,3.6024894954830806,Petrol,13.201736731488685,20.462691933807463,4092.538386761493
TR00031,VH044,2026-01-02 01:55:30.666133,Machakos,Thika,80,1.2589185510670453,Petrol,21.27810663319971,17.02248530655977,3404.497061311954
TR00032,VH044,2026-01-02 02:47:21.688337,Kisumu,Thika,370,7.363857977596406,Petrol,24.006095602978288,88.82255373101967,17764.510746203934
TR00033,VH020,2026-01-02 03:39:12.710542,Eldoret,Naivasha,235,5.353903683623166,Petrol,10.711908830045942,25.172985750607964,5034.597150121593
TR00034,VH030,2026-01-02 04:31:03.732746,Nakuru,Kisumu,190,3.796546237519966,Diesel,11.333298291941006,21.53326675468791,4091.3206833907034
TR00035,VH011,2026-01-02 05:22:54.754950,Naivasha,Kisumu,270,4.753396230371883,Diesel,14.924329701724215,40.295690194655386,7656.181136984524
TR00036,VH028,2026-01-02 06:14:45.777155,Kisumu,Mombasa,850,15.462969784045908,Petrol,14.555678850650416,123.72327023052854,24744.65404610571
TR00037,VH025,2026-01-02 07:06:36.799359,Nairobi,Mombasa,480,8.30534631980068,Diesel,18.20294921499286,87.37415623196573,16601.08968407349
TR00038,VH039,2026-01-02 07:58:27.821564,Naivasha,Mombasa,620,15.498623420759403,Diesel,23.39510030714596,145.04962190430496,27559.42816181794
TR00039,VH033,2026-01-02 08:50:18.843768,Kisumu,Eldoret,120,2.0835795540747384,Petrol,9.551673869126015,11.462008642951217,2292.4017285902432
TR00040,VH001,2026-01-02 09:42:09.865973,Thika,Nairobi,45,0.926544961069679,Petrol,10.137425974146854,4.561841688366084,912.3683376732168
TR00041,VH027,2026-01-02 10:34:00.888177,Eldoret,Kisumu,120,2.3662662185128043,Petrol,19.91586861176444,23.89904233411733,4779.808466823466
TR00042,VH013,2026-01-02 11:25:51.910382,Mombasa,Nakuru,630,10.557015635187097,Petrol,19.88542115342773,125.27815326659469,25055.630653318938
TR00043,VH041,2026-01-02 12:17:42.932586,Nairobi,Kisumu,350,6.292496217446103,Diesel,23.735231336428754,83.07330967750065,15783.928838725124
TR00044,VH003,2026-01-02 13:09:33.954790,Machakos,Naivasha,190,3.5979111010741653,Diesel,13.553336229714176,25.751338836456934,4892.7543789268175
TR00045,VH039,2026-01-02 14:01:24.976995,Naivasha,Mombasa,620,18.16688695337686,Diesel,24.8712659913241,154.20184914620944,29298.351337779794
TR00046,VH006,2026-01-02 14:53:15.999199,Naivasha,Mombasa,620,12.490937734779536,Diesel,22.98059030218273,142.47965987353294,27071.13537597126
TR00047,VH008,2026-01-02 15:45:07.021404,Nakuru,Mombasa,630,14.409025187800012,Diesel,11.091277766280239,69.8750499275655,13276.259486237444
TR00048,VH027,2026-01-02 16:36:58.043608,Eldoret,Thika,350,6.284975615998747,Petrol,22.892493626616517,80.1237276931578,16024.745538631561
TR00049,VH009,2026-01-02 17:28:49.065813,Machakos,Kisumu,465,8.02725254014973,Diesel,14.99729533593201,69.73742331208385,13250.110429295932
TR00050,VH037,2026-01-02 18:20:40.088017,Mombasa,Eldoret,750,15.761682745672463,Diesel,13.55070941281264,101.6303205960948,19309.760913258015
TR00051,VH033,2026-01-02 19:12:31.110222,Kisumu,Naivasha,270,6.045181932417769,Petrol,12.808406779901592,34.5826983057343,6916.5396611468595
