vehicle_id,vehicle_type,make,model,year,fuel_type
VH001,Van,Toyota,Hiace,2023,Petrol
VH002,Truck,Mitsubishi,Canter,2018,Petrol
VH003,Van,Toyota,Hiace,2021,Diesel
VH004,Van,Toyota,Hiace,2019,Diesel
VH005,Truck,Isuzu,NPR,2021,Diesel
VH006,Truck,Mitsubishi,Canter,2019,Diesel
VH007,Van,Toyota,Hiace,2023,Petrol
VH008,Pickup,Toyota,Hilux,2023,Diesel
VH009,Van,Toyota,Hiace,2023,Diesel
VH010,Van,Toyota,Hiace,2019,Diesel
VH011,Van,Toyota,Hiace,2021,Diesel
VH012,Van,Toyota,Hiace,2023,Diesel
VH013,Truck,Isuzu,NPR,2022,Petrol
VH014,Van,Toyota,Hiace,2024,Diesel
VH015,Pickup,Toyota,Hilux,2019,Petrol
VH016,Truck,Mitsubishi,Canter,2019,Diesel
VH017,Pickup,Toyota,Hilux,2021,Petrol
VH018,Pickup,Toyota,Hilux,2019,Diesel
VH019,Pickup,Toyota,Hilux,2019,Diesel
VH020,Pickup,Toyota,Hilux,2023,Petrol
VH021,Truck,Mitsubishi,Canter,2021,Petrol
VH022,Truck,Mitsubishi,Canter,2023,Petrol
VH023,Pickup,Toyota,Hilux,2024,Diesel
VH024,Pickup,Toyota,Hilux,2024,Petrol
VH025,Truck,Isuzu,NPR,2023,Diesel
VH026,Truck,Mitsubishi,Canter,2024,Diesel
VH027,Truck,Isuzu,NPR,2021,Petrol
VH028,Van,Toyota,Hiace,2018,Petrol
VH029,Van,Toyota,Hiace,2023,Diesel
VH030,Van,Toyota,Hiace,2022,Diesel
VH031,Pickup,Toyota,Hilux,2022,Petrol
VH032,Van,Toyota,Hiace,2019,Petrol
VH033,Pickup,Toyota,Hilux,2024,Petrol
VH034,Pickup,Toyota,Hilux,2022,Diesel
VH035,Van,Toyota,Hiace,2019,Diesel
VH036,Pickup,Toyota,Hilux,2018,Diesel
VH037,Van,Toyota,Hiace,2021,Diesel
VH038,Van,Toyota,Hiace,2021,Diesel
VH039,Truck,Mitsubishi,Canter,2021,Diesel
VH040,Van,Toyota,Hiace,2022,Petrol
VH041,Truck,Isuzu,NPR,2018,Diesel
VH042,Van,Toyota,Hiace,2022,Diesel
VH043,Van,Toyota,Hiace,2024,Diesel
VH044,Truck,Mitsubishi,Canter,2022,Petrol
VH045,Truck,Isuzu,NPR,2018,Diesel
VH046,Van,Toyota,Hiace,2018,Diesel
VH047,Pickup,Toyota,Hilux,2024,Petrol
VH048,Truck,Isuzu,NPR,2018,Diesel
VH049,Pickup,Toyota,Hilux,2018,Diesel
VH050,Pickup,Toyota,Hilux,2021,Diesel
